partner_id,n_raters,mean_received_rating,sd_received_rating
4922,1,7.0,0.0
1636,10,6.9,0.99
1789,10,6.9,1.6
4838,10,6.9,1.2
3969,9,6.89,1.05
482,9,6.88,1.64
9766,10,6.88,1.25
7915,8,6.87,0.99
544,7,6.86,0.69
1717,7,6.86,1.21
5321,7,6.86,0.69
7188,7,6.86,1.07
8050,7,6.86,1.35
543,7,6.83,1.72
9719,11,6.82,1.25
888,10,6.8,1.4
1570,10,6.8,1.62
2176,10,6.8,1.75
2869,11,6.8,0.92
6443,10,6.8,0.92
8429,10,6.8,1.32
9133,10,6.8,1.14
9413,10,6.8,1.14
644,5,6.8,0.84
4432,15,6.8,1.86
3910,9,6.78,1.09
4347,9,6.78,1.2
8488,13,6.77,1.09
435,13,6.77,0.83
4823,8,6.75,1.67
5842,8,6.75,1.49
7725,11,6.73,2.1
484,7,6.71,1.11
8565,7,6.71,1.8
8787,7,6.71,2.63
422,7,6.71,1.11
6178,10,6.7,1.16
9426,10,6.7,1.64
5017,13,6.69,1.89
7623,6,6.67,0.82
9260,7,6.67,1.51
2091,11,6.64,1.57
457,8,6.63,1.41
5015,8,6.63,0.92
4422,5,6.6,2.19
6733,10,6.6,2.32
8765,10,6.6,1.43
1105,7,6.57,0.79
6211,7,6.57,1.81
6337,8,6.57,1.72
7859,7,6.57,1.13
3350,9,6.56,1.01
2405,11,6.55,1.69
5565,11,6.55,1.04
414,7,6.5,1.05
1601,9,6.5,2.07
1818,7,6.5,1.38
3213,7,6.5,1.76
6124,10,6.5,2.37
7412,10,6.5,1.51
7633,8,6.5,1.2
1280,7,6.5,1.76
9458,11,6.45,1.21
7985,9,6.44,2.07
9046,9,6.44,1.33
955,9,6.44,1.81
698,7,6.43,1.4
3719,7,6.43,0.53
7865,7,6.43,1.4
9322,7,6.43,2.82
9687,7,6.43,1.62
6231,10,6.4,2.46
8865,10,6.4,2.22
332,13,6.38,1.98
3608,13,6.38,1.5
1271,8,6.37,2.0
538,11,6.36,1.5
894,11,6.36,1.5
7666,11,6.36,1.21
1536,9,6.33,1.58
4541,9,6.33,1.32
3085,7,6.29,1.7
4287,7,6.29,1.11
5165,7,6.29,0.95
3185,18,6.28,1.32
5255,11,6.27,1.01
6865,11,6.27,1.9
596,8,6.25,1.04
1690,8,6.25,1.49
2897,4,6.25,1.26
3885,8,6.25,1.49
3986,8,6.25,1.04
7695,8,6.25,2.31
5948,8,6.25,0.71
4705,13,6.23,1.36
387,9,6.22,1.86
682,9,6.22,1.99
235,10,6.2,1.4
2706,10,6.2,1.81
9386,10,6.2,2.04
1726,6,6.17,1.6
3661,6,6.17,1.94
9278,6,6.17,1.17
9868,7,6.17,1.72
4487,8,6.14,2.61
4647,7,6.14,0.9
8310,18,6.14,1.35
9519,7,6.14,1.07
2118,8,6.13,1.36
4394,10,6.1,2.23
9595,10,6.1,2.08
9798,11,6.1,1.1
2290,11,6.09,2.07
7803,11,6.09,1.51
6258,13,6.08,1.26
807,8,6.0,1.31
4298,8,6.0,1.51
4658,7,6.0,0.63
5019,9,6.0,2.18
7454,9,6.0,1.5
7673,8,6.0,1.77
8071,8,6.0,1.41
8671,7,6.0,2.52
8858,10,6.0,2.11
3935,7,6.0,1.1
5944,7,6.0,1.53
3644,7,6.0,1.67
6173,1,6.0,0.0
4305,1,6.0,0.0
6883,11,5.91,1.81
8381,9,5.89,2.2
4523,8,5.88,2.17
8117,8,5.88,2.36
6703,7,5.86,1.07
7105,7,5.86,1.68
22,6,5.83,1.33
384,7,5.83,2.4
1188,9,5.78,2.11
2477,9,5.78,2.39
3256,9,5.78,2.17
7618,9,5.78,1.39
6770,8,5.75,1.67
5228,11,5.73,1.68
577,7,5.71,1.11
2372,7,5.71,0.95
6611,7,5.71,1.11
3479,10,5.7,0.82
2841,7,5.67,2.42
5685,9,5.67,1.0
6083,9,5.67,1.22
7806,9,5.67,1.66
9644,9,5.67,1.73
2887,3,5.67,1.53
6366,11,5.64,1.96
2,8,5.63,2.33
7039,8,5.63,1.19
7232,8,5.63,2.07
3859,8,5.62,2.13
9335,10,5.6,1.51
9557,10,5.6,2.72
3993,7,5.57,2.99
4325,7,5.57,1.9
8863,7,5.57,2.3
3222,7,5.57,1.62
134,9,5.56,2.19
9452,9,5.56,0.53
534,11,5.55,1.81
7433,11,5.55,1.37
4765,13,5.54,1.71
1374,6,5.5,1.52
174,11,5.45,2.16
2883,7,5.43,2.15
5267,7,5.43,1.13
5993,7,5.43,2.23
7886,7,5.43,0.98
1014,10,5.4,1.71
1083,15,5.4,2.53
5512,10,5.4,2.27
7932,10,5.4,1.26
9067,10,5.4,1.51
789,8,5.38,2.07
6505,13,5.38,1.33
5746,11,5.36,2.11
8953,6,5.33,1.37
4267,10,5.3,2.45
8591,10,5.3,2.16
1731,8,5.29,1.98
4220,8,5.25,1.67
4769,9,5.22,1.99
3428,20,5.2,2.21
3653,6,5.2,1.92
7768,10,5.2,1.55
1375,11,5.18,1.78
1013,6,5.17,2.32
7568,7,5.17,1.83
5660,7,5.14,1.21
6454,8,5.12,2.36
3483,10,5.1,1.85
2562,10,5.0,1.7
3689,7,5.0,2.0
5871,6,5.0,2.28
7403,8,5.0,2.39
7719,8,5.0,2.33
7698,1,5.0,0.0
8019,1,5.0,0.0
3258,1,5.0,0.0
3425,1,5.0,0.0
648,1,5.0,0.0
2414,1,5.0,0.0
3589,1,5.0,0.0
8852,1,5.0,0.0
1019,1,5.0,0.0
7801,1,5.0,0.0
614,1,5.0,0.0
775,1,5.0,0.0
9591,1,5.0,0.0
7816,1,5.0,0.0
7685,1,5.0,0.0
7143,1,5.0,0.0
1462,1,5.0,0.0
4221,11,4.91,2.07
1,10,4.9,1.79
5053,10,4.9,2.56
9620,9,4.89,1.62
147,7,4.86,1.46
3545,8,4.86,2.19
4161,7,4.86,2.04
2623,5,4.8,1.79
3671,9,4.78,2.11
9672,9,4.78,2.05
1614,9,4.75,2.38
4132,8,4.75,1.91
8494,8,4.75,2.25
5078,12,4.75,1.86
3082,11,4.73,2.0
5740,11,4.73,2.2
4745,7,4.71,0.95
5559,7,4.71,2.98
8360,7,4.71,1.98
9626,7,4.71,1.8
4561,13,4.69,1.03
4951,8,4.63,2.56
6672,7,4.57,1.72
4650,9,4.56,2.19
3720,11,4.55,1.97
7229,11,4.55,1.51
4296,6,4.5,0.84
1962,2,4.5,3.54
8621,9,4.44,2.01
513,10,4.4,2.17
4201,7,4.33,2.73
4462,6,4.33,2.5
6056,13,4.31,1.25
680,10,4.3,1.49
8688,7,4.29,2.21
9556,8,4.13,1.25
7954,6,4.0,1.41
8122,9,4.0,1.66
4141,1,4.0,0.0
6088,1,4.0,0.0
1379,1,4.0,0.0
5261,1,4.0,0.0
1043,1,4.0,0.0
3452,1,4.0,0.0
8266,8,3.75,1.67
1045,9,3.67,1.73
2453,7,3.5,2.74
4144,10,3.5,2.01
3887,7,3.29,2.14
4231,7,3.17,2.14
2160,7,3.0,0.58
7484,1,3.0,0.0
9031,1,3.0,0.0
6360,1,3.0,0.0
5656,7,2.86,1.68
1627,5,2.0,1.22
3899,1,2.0,0.0
6682,1,1.0,0.0
